n_anchors,n_pairs,weighted_mean_delta,weighted_mean_CI_low,weighted_mean_CI_high,weighted_median_delta,weighted_median_CI_low,weighted_median_CI_high,PS,PS_CI_low,PS_CI_high,bootstrap_repetitions,bootstrap_seed,bootstrap_seed_derived,inference_cluster,anchor_k3,variable,D_mean_median,D_median_median,direction,analysis_tier,uncertainty_note,reference_label_semantics
26,46,145.66833974358977,19.031985416666693,291.07323589743595,66.010000000000005,0.40999999999996817,172.93000000000001,0.72500000000000009,0.56730769230769229,0.86538461538461542,10000,20260814,15602769863117894656,TORNADO_ANCHOR,C0,MLCAPE,61.734999999999999,61.734999999999999,TORNADO_GT_REFERENCE,EXPLORATORY_POST_HOC,EXPLORATORY,ANCHOR_C0_REFERENCE
26,46,-293.30839743589746,-534.0173733974359,-87.94030929487181,-242,-349.29999999999995,101.90000000000009,0.35705128205128206,0.1935897435897436,0.53333333333333333,10000,20260814,2000810283817804514,TORNADO_ANCHOR,C0,MLLCL,-233.69999999999993,-233.69999999999993,TORNADO_LT_REFERENCE,EXPLORATORY_POST_HOC,EXPLORATORY,ANCHOR_C0_REFERENCE
26,46,1.0519294871794869,0.037225641025637538,2.1127408653846169,1.1000000000000227,-0.069999999999993179,1.4700000000000273,0.63910256410256416,0.47307692307692312,0.79294871794871802,10000,20260814,18443220472558422194,TORNADO_ANCHOR,C0,d2m,0.96999999999999886,1.085000000000008,TORNADO_GT_REFERENCE,EXPLORATORY_POST_HOC,EXPLORATORY,ANCHOR_C0_REFERENCE
26,46,0.36752564102564123,-1.0625496794871792,1.8483785256410248,-0.27999999999999936,-0.91000000000000014,2.1999999999999993,0.49294871794871792,0.32692307692307693,0.66604166666666642,10000,20260814,16893621745035218729,TORNADO_ANCHOR,C0,SHR6,0.18166666666666681,0.43000000000000105,TORNADO_LT_REFERENCE,EXPLORATORY_POST_HOC,EXPLORATORY,ANCHOR_C0_REFERENCE
26,46,1.3902179487179485,-2.7770935897435902,6.2288573717948692,0.59999999999999998,-1.0899999999999999,4.1100000000000012,0.59102564102564104,0.42179487179487174,0.75384615384615394,10000,20260814,16703569014835757446,TORNADO_ANCHOR,C0,SRH1,0.80249999999999999,0.80249999999999999,TORNADO_GT_REFERENCE,EXPLORATORY_POST_HOC,EXPLORATORY,ANCHOR_C0_REFERENCE
12,22,46.200000000000074,-269.83751041666659,309.2174999999998,93.090000000000032,-23.420000000000016,213.83000000000015,0.70833333333333337,0.45833333333333331,0.91666666666666663,10000,20260814,12581197652556168435,TORNADO_ANCHOR,C1,MLCAPE,111.00000000000006,111.00000000000006,TORNADO_GT_REFERENCE,EXPLORATORY_POST_HOC,SMALL_N_HIGH_UNCERTAINTY,ANCHOR_C1_REFERENCE
12,22,8.925000000000006,-41.458645833333321,60.275104166666665,-21.100000000000023,-99.799999999999955,122.39999999999998,0.47916666666666669,0.25,0.70833333333333337,10000,20260814,2255532921051928144,TORNADO_ANCHOR,C1,MLLCL,-1.6750000000000114,-1.6750000000000114,TORNADO_LT_REFERENCE,EXPLORATORY_POST_HOC,SMALL_N_HIGH_UNCERTAINTY,ANCHOR_C1_REFERENCE
12,22,0.30291666666666589,-0.19749999999999571,0.91962500000000136,-0.069999999999993179,-0.23000000000001819,0.50999999999999091,0.47916666666666669,0.22916666666666666,0.72916666666666663,10000,20260814,2421277617993084707,TORNADO_ANCHOR,C1,d2m,-0.015000000000014779,-0.015000000000014779,TORNADO_LT_REFERENCE,EXPLORATORY_POST_HOC,SMALL_N_HIGH_UNCERTAINTY,ANCHOR_C1_REFERENCE
12,22,-0.53270833333333356,-2.1327291666666666,0.83544791666666618,-0.089999999999999858,-2.1400000000000006,0.79000000000000004,0.5,0.25,0.75,10000,20260814,5077923756806972282,TORNADO_ANCHOR,C1,SHR6,-0.14999999999999991,-0.14999999999999991,TORNADO_LT_REFERENCE,EXPLORATORY_POST_HOC,SMALL_N_HIGH_UNCERTAINTY,ANCHOR_C1_REFERENCE
12,22,-5.6033333333333344,-23.104593749999999,11.96538541666666,-4.8700000000000045,-19.990000000000002,12.469999999999999,0.45833333333333331,0.20833333333333334,0.70833333333333337,10000,20260814,12977994273397050662,TORNADO_ANCHOR,C1,SRH1,-7.230000000000004,-7.230000000000004,TORNADO_LT_REFERENCE,EXPLORATORY_POST_HOC,SMALL_N_HIGH_UNCERTAINTY,ANCHOR_C1_REFERENCE
