Regime,n,2-m dew point (K),MLCAPE (J kg−1),MLLCL (m),0–6-km shear (m s−1),0–1-km SRH (m² s−2)
C0,131,284.6,202.6,1834.5,14.1,9.5
C1,307,297.5,1541.4,1052.8,9.2,22.3
C2,352,297.8,781.7,736.9,18.1,102.3
