variable,OLD_PRIMARY_median_delta,OLD_PRIMARY_CI_low,OLD_PRIMARY_CI_high,OLD_PRIMARY_effect_rank_biserial,OLD_PRIMARY_q,OLD_SECONDARY_median_delta,OLD_SECONDARY_CI_low,OLD_SECONDARY_CI_high,OLD_SECONDARY_effect_rank_biserial,OLD_SECONDARY_q,NEW_ALLREF_weighted_mean_delta,NEW_ALLREF_weighted_median_delta,NEW_ALLREF_CI_low,NEW_ALLREF_CI_high,NEW_ALLREF_PS,NEW_ALLREF_PS_CI_low,NEW_ALLREF_PS_CI_high,NEW_ALLREF_D_mean_median,NEW_ALLREF_q,direction_consistency,magnitude_ratio_abs_new_vs_old_primary,magnitude_change_class,magnitude_rule,old_primary_status,new_analysis_status
MLCAPE,30.21000000000004,0,93.090000000000046,0.1787545787545787,0.18922958027182049,30.21000000000004,0.40999999999996811,115.88999999999989,0.19963369963369959,0.12862161792560561,44.818393650793674,30.210000000000036,0.40999999999996817,93.090000000000032,0.59158730158730155,0.50793650793650791,0.6747658730158731,17.310000000000059,0.15187190169991763,SAME_DIRECTION_ALL_THREE,0.99999999999999989,WITHIN_50_PERCENT_OF_OLD_PRIMARY,"DESCRIPTIVE: MAGNITUDE_SHIFT IF ABS_RATIO OUTSIDE [0.5,1.5]",UNCHANGED_AND_PRESERVED,POST_HOC_ADDITIONAL_ROBUSTNESS
MLLCL,28.600000000000023,4.2999999999999545,69.200000000000045,0.13710691823899371,0.27827875419932752,30.500000000000117,12,66.350000000000023,0.1716082659478885,0.15861397804945779,-35.061682539682536,33.199999999999932,8.3000000000000682,58.699999999999932,0.61476190476190462,0.52761904761904765,0.69873412698412696,30.500000000000057,0.20241458404234955,SAME_DIRECTION_ALL_THREE,1.1608391608391575,WITHIN_50_PERCENT_OF_OLD_PRIMARY,"DESCRIPTIVE: MAGNITUDE_SHIFT IF ABS_RATIO OUTSIDE [0.5,1.5]",UNCHANGED_AND_PRESERVED,POST_HOC_ADDITIONAL_ROBUSTNESS
d2m,0.27999999999997272,0.060000000000002197,0.56999999999999318,0.33854447439353091,0.0130007897058143,0.3599999999999568,0.089999999999974906,0.56999999999999318,0.40125786163522009,0.0017899945958827,0.4712603174603166,0.28000000000002956,0.050000000000011369,0.54000000000002046,0.61793650793650789,0.53348809523809526,0.69873015873015876,0.36000000000001364,0.0010108131343606564,SAME_DIRECTION_ALL_THREE,1.0000000000002029,WITHIN_50_PERCENT_OF_OLD_PRIMARY,"DESCRIPTIVE: MAGNITUDE_SHIFT IF ABS_RATIO OUTSIDE [0.5,1.5]",UNCHANGED_AND_PRESERVED,POST_HOC_ADDITIONAL_ROBUSTNESS
SHR6,0.39000000000000051,-0.45999999999999991,0.79000000000000004,0.1009883198562443,0.3690215832746736,0.4600000000000008,0.0599999999999987,0.85999999999999943,0.141958670260557,0.2066797669006131,0.30451269841269857,0.40000000000000213,-0.17999999999999972,0.79000000000000004,0.57396825396825402,0.4871388888888889,0.66047619047619044,0.40000000000000213,0.21780876443338837,SAME_DIRECTION_ALL_THREE,1.0256410256410298,WITHIN_50_PERCENT_OF_OLD_PRIMARY,"DESCRIPTIVE: MAGNITUDE_SHIFT IF ABS_RATIO OUTSIDE [0.5,1.5]",UNCHANGED_AND_PRESERVED,POST_HOC_ADDITIONAL_ROBUSTNESS
SRH1,3.6299999999999999,-1.0900000000000001,7.1199999999999974,0.22353998203054801,0.1169139683319718,5.4699999999999989,0.59999999999999998,10.61999999999999,0.3230907457322551,0.010134843891641499,11.034634920634918,3.9599999999999937,0.20999999999999999,7.6500000000000004,0.59269841269841272,0.50777380952380957,0.67746031746031743,5.4699999999999989,0.0083474743911413404,SAME_DIRECTION_ALL_THREE,1.0909090909090893,WITHIN_50_PERCENT_OF_OLD_PRIMARY,"DESCRIPTIVE: MAGNITUDE_SHIFT IF ABS_RATIO OUTSIDE [0.5,1.5]",UNCHANGED_AND_PRESERVED,POST_HOC_ADDITIONAL_ROBUSTNESS
