variable,N_paired,tornado_median,tornado_Q1,tornado_Q3,reference_median,reference_Q1,reference_Q3,paired_median_difference,paired_difference_Q1,paired_difference_Q3,bootstrap_CI_low,bootstrap_CI_high,rank_biserial,raw_p,q_BH
MLCAPE_Jkg,105,795.04,375.9,1192.15,750.65,303.31,1215.48,30.21000000000004,-137.75,244.69000000000003,0.4099999999999681,115.88999999999989,0.1996336996336996,0.0771729707553634,0.1286216179256056
MLLCL_m,105,817.9,688.5,1354.7,763.6,633.8,1233.4,30.500000000000117,-77.69999999999993,148.5,12.0,66.35000000000002,0.1716082659478885,0.1268911824395662,0.1586139780494578
ERA5_d2m_K,105,297.21,291.09,298.47,297.01,291.35,298.23,0.3599999999999568,-0.2799999999999727,1.0699999999999932,0.0899999999999749,0.5699999999999932,0.4012578616352201,0.0003579989191765,0.0017899945958827
SHR6_ms,105,17.85,11.57,22.1,17.59,11.02,22.385,0.4600000000000008,-1.1850000000000005,1.834999999999999,0.0599999999999987,0.8599999999999994,0.141958670260557,0.2066797669006131,0.2066797669006131
SRH1_m2s2,105,95.06,46.13,137.34,72.11,32.11,119.605,5.469999999999999,-7.230000000000004,22.92999999999998,0.6,10.61999999999999,0.3230907457322551,0.0040539375566566,0.0101348438916415
