n_anchors,n_pairs,weighted_mean_delta,weighted_mean_CI_low,weighted_mean_CI_high,weighted_median_delta,weighted_median_CI_low,weighted_median_CI_high,PS,PS_CI_low,PS_CI_high,bootstrap_repetitions,bootstrap_seed,bootstrap_seed_derived,inference_cluster,reference_type,variable,direction,analysis_tier,type_semantics
44,57,45.892537878787884,-46.123265151515106,145.98970738636362,50.659999999999997,-36.819999999999936,118.44999999999999,0.58333333333333326,0.44696969696969691,0.71969696969696961,10000,20260814,7461297831497624645,TORNADO_ANCHOR,RAIN,MLCAPE,TORNADO_GT_REFERENCE,EXPLORATORY,FROZEN_REFERENCE_TYPE_ONLY
44,57,74.100378787878796,44.454488636363628,103.08386363636362,58.699999999999932,37.900000000000091,125.60000000000002,0.77651515151515149,0.65151515151515149,0.88636363636363635,10000,20260814,10817556307307216843,TORNADO_ANCHOR,RAIN,MLLCL,TORNADO_GT_REFERENCE,EXPLORATORY,FROZEN_REFERENCE_TYPE_ONLY
44,57,0.24181818181817996,0.031917613636358047,0.45636647727272411,0.16000000000002501,-0.069999999999993179,0.39999999999997726,0.62121212121212122,0.47727272727272729,0.75757575757575768,10000,20260814,1510600060467271300,TORNADO_ANCHOR,RAIN,d2m,TORNADO_GT_REFERENCE,EXPLORATORY,FROZEN_REFERENCE_TYPE_ONLY
44,57,0.14643939393939398,-0.5043219696969693,0.82837405303030309,0.17999999999999972,-0.74000000000000021,0.89000000000000057,0.56818181818181823,0.42045454545454547,0.70482954545454135,10000,20260814,16565810876427673100,TORNADO_ANCHOR,RAIN,SHR6,TORNADO_GT_REFERENCE,EXPLORATORY,FROZEN_REFERENCE_TYPE_ONLY
44,57,15.718825757575758,3.6783948863636371,28.245618371212121,5.0300000000000011,-2.6400000000000006,14.729999999999997,0.59090909090909094,0.45454545454545453,0.72727272727272729,10000,20260814,5670453600143478221,TORNADO_ANCHOR,RAIN,SRH1,TORNADO_GT_REFERENCE,EXPLORATORY,FROZEN_REFERENCE_TYPE_ONLY
64,100,44.600289062500011,-64.691205989583281,151.21380957031252,66.010000000000005,-18.259999999999991,129.81999999999994,0.57578125000000002,0.46354166666666669,0.68542317708333322,10000,20260814,9508400546562194862,TORNADO_ANCHOR,WIND,MLCAPE,TORNADO_GT_REFERENCE,EXPLORATORY,FROZEN_REFERENCE_TYPE_ONLY
64,100,-92.178411458333315,-205.95879557291667,3.4475735677083525,12,-34.699999999999932,75.5,0.5278645833333333,0.41223307291666667,0.64192708333333326,10000,20260814,8372167658333654497,TORNADO_ANCHOR,WIND,MLLCL,TORNADO_GT_REFERENCE,EXPLORATORY,FROZEN_REFERENCE_TYPE_ONLY
64,100,0.6467473958333334,0.19784869791666654,1.119824804687495,0.51000000000004775,-0.079999999999984084,0.87999999999999545,0.57994791666666667,0.46587890625,0.69062500000000004,10000,20260814,10389948311119381125,TORNADO_ANCHOR,WIND,d2m,TORNADO_GT_REFERENCE,EXPLORATORY,FROZEN_REFERENCE_TYPE_ONLY
64,100,0.49485416666666704,-0.34089374999999983,1.3249063802083334,0.65000000000000213,-0.37999999999999901,1.0300000000000011,0.59869791666666672,0.48488281250000004,0.70937499999999998,10000,20260814,5491860067719487122,TORNADO_ANCHOR,WIND,SHR6,TORNADO_GT_REFERENCE,EXPLORATORY,FROZEN_REFERENCE_TYPE_ONLY
64,100,13.132640624999997,4.8578885416666653,21.93756002604167,4.1400000000000006,0.20999999999999999,11.390000000000001,0.62812499999999993,0.51406249999999998,0.73593749999999991,10000,20260814,16332040747049288887,TORNADO_ANCHOR,WIND,SRH1,TORNADO_GT_REFERENCE,EXPLORATORY,FROZEN_REFERENCE_TYPE_ONLY
22,24,24.031136363636382,-93.056897727272698,147.58112499999993,0.40999999999996817,-153.46999999999991,173.52000000000004,0.54545454545454541,0.34090909090909088,0.75,10000,20260814,10983973954560973392,TORNADO_ANCHOR,RAIN+WIND,MLCAPE,TORNADO_GT_REFERENCE,EXPLORATORY,FROZEN_REFERENCE_TYPE_ONLY
22,24,29.568181818181824,-32.010624999999997,95.291647727272732,8.3000000000000682,-41.600000000000136,33.199999999999932,0.54545454545454541,0.31818181818181818,0.72727272727272729,10000,20260814,10005826440022875542,TORNADO_ANCHOR,RAIN+WIND,MLLCL,TORNADO_GT_REFERENCE,EXPLORATORY,FROZEN_REFERENCE_TYPE_ONLY
22,24,0.32909090909090821,-0.16636931818181797,0.75522727272726675,0.58000000000004093,-0.01999999999998181,0.93000000000000682,0.68181818181818177,0.5,0.86363636363636365,10000,20260814,7616106826248338090,TORNADO_ANCHOR,RAIN+WIND,d2m,TORNADO_GT_REFERENCE,EXPLORATORY,FROZEN_REFERENCE_TYPE_ONLY
22,24,-0.47159090909090862,-1.7411704545454527,0.69386363636363657,-0.48999999999999844,-1.2799999999999994,0.60999999999999943,0.45454545454545453,0.22727272727272727,0.68181818181818177,10000,20260814,8517981640647468724,TORNADO_ANCHOR,RAIN+WIND,SHR6,TORNADO_LT_REFERENCE,EXPLORATORY,FROZEN_REFERENCE_TYPE_ONLY
22,24,-4.4472727272727273,-19.270522727272724,10.190528409090916,-5.4399999999999977,-15.670000000000002,7.1199999999999974,0.40909090909090912,0.22727272727272727,0.63636363636363635,10000,20260814,15630220249208062204,TORNADO_ANCHOR,RAIN+WIND,SRH1,TORNADO_LT_REFERENCE,EXPLORATORY,FROZEN_REFERENCE_TYPE_ONLY
