variable,N_paired,tornado_median,tornado_Q1,tornado_Q3,reference_median,reference_Q1,reference_Q3,paired_median_difference,paired_difference_Q1,paired_difference_Q3,bootstrap_CI_low,bootstrap_CI_high,rank_biserial,raw_p,q_BH
MLCAPE_Jkg,105,795.04,375.9,1192.15,746.88,319.29,1143.69,30.21000000000004,-130.26999999999998,213.98999999999995,0.0,93.09000000000005,0.1787545787545787,0.1135377481630923,0.1892295802718205
MLLCL_m,105,817.9,688.5,1354.7,771.5,624.7,1236.1,28.600000000000023,-77.69999999999993,135.79999999999995,4.2999999999999545,69.20000000000005,0.1371069182389937,0.222623003359462,0.2782787541993275
ERA5_d2m_K,105,297.21,291.09,298.47,296.87,291.68,298.33,0.2799999999999727,-0.3299999999999841,1.0199999999999818,0.0600000000000022,0.5699999999999932,0.3385444743935309,0.0026001579411628,0.0130007897058143
SHR6_ms,105,17.85,11.57,22.1,17.59,11.08,22.61,0.3900000000000005,-1.3000000000000007,1.7899999999999991,-0.4599999999999999,0.79,0.1009883198562443,0.3690215832746736,0.3690215832746736
SRH1_m2s2,105,95.06,46.13,137.34,72.0,33.24,131.62,3.63,-8.299999999999955,18.840000000000003,-1.09,7.119999999999997,0.223539982030548,0.0467655873327887,0.1169139683319718
