k,silhouette,davies_bouldin,calinski_harabasz,min_cluster_size,sizes_raw_cluster_order,seed_median_ari,seed_p10_ari,subsampling_median_ari,subsampling_p10_ari,boundary_event_fraction,lofo_min_ari,scheme_min_ari,ward_ari,gmm_ari,pca_ari,warnings,assessment
2,0.2593828729487923,1.5005314418039641,300.880501550437,373,373/417,0.994936689056685,0.1522762698853406,0.9873618215750265,0.17021406966924627,0.0012658227848101266,0.129310663378598,0.11330551101611525,0.07255539555830713,0.10211195700177549,0.9949366943138903,subsampling_p10_below_0.60;lofo_algorithm_feature_sensitivity;feature_scheme_sensitivity,PLAUSIBLE_SENSITIVITY
3,0.27957290918717487,1.2504438658136665,348.82289679725415,131,307/352/131,0.9783929472670245,0.7887055373447774,0.97406585800082,0.7821260278369608,0.008860759493670886,0.6000585715775877,0.6260022286646536,0.33037425580779084,0.4018161066758296,0.9880421240642536,,SUPPORTED_BUT_NOT_UNIQUE
4,0.2582597031229179,1.2247330471637947,336.6019846381766,125,125/206/249/210,0.9743283558032744,0.9713245247353863,0.9569110075750878,0.9223262734643385,0.007594936708860759,0.4459525008015957,0.4424623076386083,0.4807962738471547,0.3599105729115105,0.9355341409309492,,SUPPORTED_BUT_NOT_UNIQUE
5,0.24075880730922303,1.322466442930829,297.7179479583326,119,160/152/177/119/182,0.6249398424478146,0.46149600617357783,0.6652836758196496,0.5553863565359721,0.16962025316455695,0.42634073278761375,0.3986337309987632,0.5238633108752409,0.37432250992955063,0.45681255541588556,subsampling_median_below_0.80;subsampling_p10_below_0.60;many_boundary_events;feature_scheme_sensitivity,WEAK_TO_MODERATE
6,0.23267688471016804,1.2434947664872722,278.0013096138553,84,112/84/91/194/122/187,0.5803182346896245,0.47459971118355937,0.7803881856368344,0.49256194057167924,0.0949367088607595,0.3902526123380195,0.4591327480917034,0.4200741551948324,0.33183216772153373,0.4710513378739874,subsampling_median_below_0.80;subsampling_p10_below_0.60;lofo_algorithm_feature_sensitivity,WEAK_TO_MODERATE
