replicate,k,subsample_size,ari_vs_primary_on_sample,nmi_vs_primary_on_sample,exact_label_match_fraction_after_permutation,permutation_mapping
260,4,632,0.9497341109140031,0.9365625004014732,0.9825949367088608,"{""0"": 1, ""1"": 2, ""2"": 0, ""3"": 3}"
260,5,632,0.9113931602960338,0.90477850298464,0.9636075949367089,"{""0"": 1, ""1"": 0, ""2"": 3, ""3"": 4, ""4"": 2}"
260,6,632,0.48171363133500733,0.5873674742189553,0.6518987341772152,"{""0"": 1, ""1"": 3, ""2"": 5, ""3"": 2, ""4"": 0, ""5"": 4}"
261,2,632,1.0,1.0,1.0,"{""0"": 0, ""1"": 1}"
261,3,632,0.9865837213650743,0.9708752913120817,0.995253164556962,"{""0"": 0, ""1"": 1, ""2"": 2}"
261,4,632,0.9764593955053505,0.9730780440698567,0.9920886075949367,"{""0"": 2, ""1"": 3, ""2"": 1, ""3"": 0}"
261,5,632,0.7847213390656667,0.796228300382888,0.9098101265822784,"{""0"": 0, ""1"": 1, ""2"": 3, ""3"": 4, ""4"": 2}"
261,6,632,0.8423030352903478,0.8632483398929474,0.935126582278481,"{""0"": 0, ""1"": 4, ""2"": 1, ""3"": 3, ""4"": 2, ""5"": 5}"
262,2,632,0.9810726690123007,0.9611440691821523,0.995253164556962,"{""0"": 0, ""1"": 1}"
262,3,632,0.9754854429875052,0.9515691113723956,0.990506329113924,"{""0"": 0, ""1"": 2, ""2"": 1}"
262,4,632,0.9824217885443183,0.9712941825504452,0.9920886075949367,"{""0"": 3, ""1"": 1, ""2"": 2, ""3"": 0}"
262,5,632,0.6794377720291693,0.7251042717716577,0.8512658227848101,"{""0"": 0, ""1"": 3, ""2"": 1, ""3"": 4, ""4"": 2}"
262,6,632,0.5064502707388351,0.5982523749082539,0.6598101265822784,"{""0"": 3, ""1"": 1, ""2"": 5, ""3"": 2, ""4"": 4, ""5"": 0}"
263,2,632,0.9873618279998477,0.9722811651523068,0.9968354430379747,"{""0"": 0, ""1"": 1}"
263,3,632,0.9887957774606744,0.9819332135146611,0.9968354430379747,"{""0"": 1, ""1"": 2, ""2"": 0}"
263,4,632,0.9460633379897329,0.9276021873553881,0.9810126582278481,"{""0"": 2, ""1"": 0, ""2"": 1, ""3"": 3}"
263,5,632,0.8567265261603454,0.8407706322788966,0.9430379746835443,"{""0"": 4, ""1"": 3, ""2"": 1, ""3"": 0, ""4"": 2}"
263,6,632,0.5439404256779811,0.668907380975623,0.6882911392405063,"{""0"": 2, ""1"": 1, ""2"": 5, ""3"": 4, ""4"": 0, ""5"": 3}"
264,2,632,0.9873617596889012,0.9722500094707324,0.9968354430379747,"{""0"": 0, ""1"": 1}"
264,3,632,0.9736994496876238,0.9581370141326433,0.9920886075949367,"{""0"": 0, ""1"": 2, ""2"": 1}"
264,4,632,0.9161162674674953,0.9042992397939513,0.9699367088607594,"{""0"": 3, ""1"": 2, ""2"": 0, ""3"": 1}"
264,5,632,0.9664293731467415,0.9598377966343802,0.9873417721518988,"{""0"": 2, ""1"": 4, ""2"": 3, ""3"": 0, ""4"": 1}"
264,6,632,0.5166890836621926,0.6266221925329484,0.6772151898734177,"{""0"": 1, ""1"": 4, ""2"": 0, ""3"": 5, ""4"": 2, ""5"": 3}"
265,2,632,0.9936708273299782,0.984531938410481,0.9984177215189873,"{""0"": 1, ""1"": 0}"
265,3,632,0.9963120009791766,0.9906392772421678,0.9984177215189873,"{""0"": 2, ""1"": 1, ""2"": 0}"
265,4,632,0.9905520573915966,0.985555569140464,0.9968354430379747,"{""0"": 3, ""1"": 1, ""2"": 0, ""3"": 2}"
265,5,632,0.652451132910704,0.7013889057358462,0.8259493670886076,"{""0"": 0, ""1"": 4, ""2"": 1, ""3"": 2, ""4"": 3}"
265,6,632,0.8794727535457159,0.8706599812636,0.9477848101265823,"{""0"": 4, ""1"": 2, ""2"": 0, ""3"": 3, ""4"": 1, ""5"": 5}"
266,2,632,0.9748027454647706,0.9507090340939185,0.9936708860759493,"{""0"": 1, ""1"": 0}"
266,3,632,0.9958493210885423,0.9904593675411361,0.9984177215189873,"{""0"": 1, ""1"": 2, ""2"": 0}"
266,4,632,0.9761356626324227,0.963297544599614,0.990506329113924,"{""0"": 1, ""1"": 2, ""2"": 0, ""3"": 3}"
266,5,632,0.6441585310290332,0.722948601554133,0.8370253164556962,"{""0"": 2, ""1"": 3, ""2"": 4, ""3"": 0, ""4"": 1}"
266,6,632,0.8048706181592755,0.8148124183950284,0.9098101265822784,"{""0"": 1, ""1"": 3, ""2"": 4, ""3"": 5, ""4"": 0, ""5"": 2}"
267,2,632,0.987361827027161,0.9691189073052543,0.9968354430379747,"{""0"": 1, ""1"": 0}"
267,3,632,0.855720390954033,0.8495224578928637,0.9556962025316456,"{""0"": 2, ""1"": 1, ""2"": 0}"
267,4,632,1.0,1.0,1.0,"{""0"": 2, ""1"": 1, ""2"": 3, ""3"": 0}"
267,5,632,0.9040161519038014,0.9058336872811992,0.9620253164556962,"{""0"": 2, ""1"": 4, ""2"": 3, ""3"": 0, ""4"": 1}"
267,6,632,0.46804187431047267,0.5928714278826365,0.6360759493670886,"{""0"": 4, ""1"": 0, ""2"": 2, ""3"": 1, ""4"": 5, ""5"": 3}"
268,2,632,0.16501755526136544,0.23153015351814182,0.7041139240506329,"{""0"": 1, ""1"": 0}"
268,3,632,0.9906439883441523,0.9806656172091964,0.9968354430379747,"{""0"": 0, ""1"": 2, ""2"": 1}"
268,4,632,0.9709249777344288,0.9538603218133861,0.9889240506329114,"{""0"": 1, ""1"": 0, ""2"": 2, ""3"": 3}"
268,5,632,0.9798855668275105,0.9764539249905579,0.9920886075949367,"{""0"": 4, ""1"": 1, ""2"": 3, ""3"": 2, ""4"": 0}"
268,6,632,0.9708695059638933,0.9633773137744339,0.9873417721518988,"{""0"": 3, ""1"": 0, ""2"": 2, ""3"": 1, ""4"": 4, ""5"": 5}"
269,2,632,0.9936708844547795,0.9845572768755257,0.9984177215189873,"{""0"": 0, ""1"": 1}"
269,3,632,0.9850506944050982,0.972475240464347,0.995253164556962,"{""0"": 2, ""1"": 1, ""2"": 0}"
269,4,632,0.9876838656679177,0.9804291750779363,0.995253164556962,"{""0"": 2, ""1"": 3, ""2"": 0, ""3"": 1}"
269,5,632,0.7200307495086681,0.7601920421029841,0.8765822784810127,"{""0"": 2, ""1"": 3, ""2"": 4, ""3"": 1, ""4"": 0}"
269,6,632,0.9069482396234612,0.8952917853627798,0.9572784810126582,"{""0"": 3, ""1"": 1, ""2"": 4, ""3"": 5, ""4"": 2, ""5"": 0}"
270,2,632,0.15490235244694014,0.24648610876064347,0.6977848101265823,"{""0"": 1, ""1"": 0}"
270,3,632,0.9604141399178272,0.926623162694767,0.9841772151898734,"{""0"": 1, ""1"": 0, ""2"": 2}"
270,4,632,0.953549616626581,0.9332465288022567,0.9825949367088608,"{""0"": 3, ""1"": 2, ""2"": 1, ""3"": 0}"
270,5,632,0.5280883953177833,0.6459575701660365,0.7674050632911392,"{""0"": 2, ""1"": 3, ""2"": 1, ""3"": 4, ""4"": 0}"
270,6,632,0.9782614342983892,0.9722873023346765,0.990506329113924,"{""0"": 2, ""1"": 4, ""2"": 1, ""3"": 0, ""4"": 3, ""5"": 5}"
271,2,632,0.9561175025787018,0.9230732397372255,0.9889240506329114,"{""0"": 0, ""1"": 1}"
271,3,632,0.9813320795672146,0.9652046468338853,0.9936708860759493,"{""0"": 1, ""1"": 2, ""2"": 0}"
271,4,632,0.9785128921238225,0.9677865984966401,0.9920886075949367,"{""0"": 0, ""1"": 1, ""2"": 3, ""3"": 2}"
271,5,632,0.8304185925826598,0.8494591788711041,0.930379746835443,"{""0"": 1, ""1"": 0, ""2"": 2, ""3"": 3, ""4"": 4}"
271,6,632,0.5068042843989903,0.6264867093863073,0.6629746835443038,"{""0"": 3, ""1"": 1, ""2"": 5, ""3"": 2, ""4"": 0, ""5"": 4}"
272,2,632,0.9873614204195429,0.9721911852332777,0.9968354430379747,"{""0"": 1, ""1"": 0}"
272,3,632,0.961094906815233,0.9384050762294305,0.9873417721518988,"{""0"": 1, ""1"": 2, ""2"": 0}"
272,4,632,0.9486400417430926,0.9422428209757843,0.9825949367088608,"{""0"": 3, ""1"": 2, ""2"": 1, ""3"": 0}"
272,5,632,0.6887278475011729,0.7249139471705894,0.8496835443037974,"{""0"": 1, ""1"": 2, ""2"": 0, ""3"": 4, ""4"": 3}"
272,6,632,0.7843843607325336,0.8225374950026088,0.8971518987341772,"{""0"": 3, ""1"": 4, ""2"": 5, ""3"": 1, ""4"": 2, ""5"": 0}"
273,2,632,0.9936708795517861,0.9845727079369875,0.9984177215189873,"{""0"": 0, ""1"": 1}"
273,3,632,0.951606869262268,0.9353665598412151,0.9857594936708861,"{""0"": 1, ""1"": 2, ""2"": 0}"
273,4,632,0.9559396600148404,0.9516801753506603,0.9841772151898734,"{""0"": 2, ""1"": 1, ""2"": 3, ""3"": 0}"
273,5,632,0.5352564783055733,0.6456625117823844,0.759493670886076,"{""0"": 0, ""1"": 4, ""2"": 3, ""3"": 1, ""4"": 2}"
273,6,632,0.7632921416039704,0.7800516699562268,0.879746835443038,"{""0"": 3, ""1"": 1, ""2"": 5, ""3"": 4, ""4"": 2, ""5"": 0}"
274,2,632,0.9936708722291195,0.9845476369840697,0.9984177215189873,"{""0"": 1, ""1"": 0}"
274,3,632,0.7857596277704977,0.7856126660781948,0.9319620253164557,"{""0"": 1, ""1"": 2, ""2"": 0}"
274,4,632,0.9270518778464762,0.917107967290614,0.9746835443037974,"{""0"": 0, ""1"": 2, ""2"": 3, ""3"": 1}"
274,5,632,0.8628093531545351,0.8532755480872739,0.944620253164557,"{""0"": 1, ""1"": 4, ""2"": 3, ""3"": 0, ""4"": 2}"
274,6,632,0.8071153161991095,0.830639442538432,0.9129746835443038,"{""0"": 3, ""1"": 1, ""2"": 0, ""3"": 2, ""4"": 4, ""5"": 5}"
275,2,632,0.9873618317977748,0.9722863191620774,0.9968354430379747,"{""0"": 0, ""1"": 1}"
275,3,632,0.971625152220535,0.9486879684929832,0.990506329113924,"{""0"": 0, ""1"": 2, ""2"": 1}"
275,4,632,1.0,1.0,1.0,"{""0"": 3, ""1"": 1, ""2"": 0, ""3"": 2}"
275,5,632,0.7204100696572433,0.7522239237475373,0.8686708860759493,"{""0"": 1, ""1"": 3, ""2"": 4, ""3"": 0, ""4"": 2}"
275,6,632,0.9191735300130544,0.9158494899228942,0.9667721518987342,"{""0"": 0, ""1"": 3, ""2"": 4, ""3"": 2, ""4"": 5, ""5"": 1}"
276,2,632,0.9873617989221709,0.9722635513107766,0.9968354430379747,"{""0"": 0, ""1"": 1}"
276,3,632,0.992210176752401,0.981086222275192,0.9968354430379747,"{""0"": 1, ""1"": 2, ""2"": 0}"
276,4,632,0.9781080745251713,0.9674355511077429,0.9920886075949367,"{""0"": 1, ""1"": 0, ""2"": 2, ""3"": 3}"
276,5,632,0.9557456113456736,0.9420921188901717,0.9825949367088608,"{""0"": 2, ""1"": 3, ""2"": 1, ""3"": 0, ""4"": 4}"
